house_id,mainframe_zone,spawnpoint,hh_weight,state_of_decay,in_dystopia,homies_living_inside,age_of_eldest_goblin,monthly_grind_income,foodie_expenses,rent_for_box,plastic_flex
HH1000,rizz_rural,7202,0.64,JhorrorKhand,False,6,28,26200.0,13540.0,1400.0,False
HH1001,midtown_sadness,7412,3.82,Panic Nadu,True,3,65,5200.0,2060.0,1900.0,False
HH1002,no_scope_city,5420,1.88,Kerela.ai,False,4,44,6100.0,3490.0,1900.0,False
HH1003,feral_block,6232,3.6,Moodhya Pradesh,True,3,62,12800.0,4330.0,7300.0,False
HH1004,delulu_hub,7991,1.95,Biharify,True,3,32,10800.0,3820.0,11200.0,False
HH1005,delulu_hub,2879,3.94,Moodhya Pradesh,True,4,63,11800.0,5290.0,9200.0,False
HH1006,delulu_hub,1024,1.38,Uttar Downbad,True,3,74,15400.0,5000.0,7200.0,False
HH1007,midtown_sadness,1681,4.4,karNAHtaka,True,3,54,30000.0,10760.0,9300.0,False
HH1008,feral_block,7814,3.62,Panic Nadu,True,3,71,12900.0,7520.0,5800.0,False
HH1009,no_scope_city,3424,0.96,Kerela.ai,False,1,57,7800.0,4620.0,100.0,False
HH1010,delulu_hub,5813,2.76,Moodhya Pradesh,False,1,58,7300.0,3010.0,1700.0,False
HH1011,midtown_sadness,7126,4.44,Panic Nadu,True,9,62,25200.0,14540.0,4500.0,False
HH1012,no_scope_city,355,2.38,Uttar Downbad,False,5,38,16700.0,7740.0,1200.0,False
HH1013,rizz_rural,4904,1.23,karNAHtaka,True,1,56,14500.0,5520.0,7100.0,False
HH1014,delulu_hub,1938,2.44,JhorrorKhand,True,2,69,24600.0,12560.0,0.0,False
HH1015,delulu_hub,109,2.55,Biharify,False,2,26,10700.0,5330.0,1800.0,False
HH1016,rizz_rural,2971,3.47,Panic Nadu,True,5,69,16100.0,9610.0,8000.0,False
HH1017,coastal_L,9089,3.3,Panic Nadu,True,6,53,12300.0,4670.0,5800.0,False
HH1018,coastal_L,7509,2.11,JhorrorKhand,True,5,24,9300.0,4670.0,0.0,False
HH1019,rizz_rural,7518,1.37,Panic Nadu,True,3,73,8000.0,2520.0,11000.0,False
HH1020,feral_block,5224,3.08,Uttar Downbad,False,3,68,3500.0,1170.0,2000.0,False
HH1021,delulu_hub,1115,2.19,Uttar Downbad,True,4,56,16300.0,4910.0,8300.0,False
HH1022,rizz_rural,2293,1.03,JhorrorKhand,False,2,73,13400.0,8040.0,1600.0,False
HH1023,rizz_rural,8515,4.1,Biharify,True,6,35,18100.0,9790.0,8600.0,False
HH1024,coastal_L,7549,3.26,Kerela.ai,True,6,69,10000.0,5360.0,12500.0,False
HH1025,no_scope_city,4258,3.23,Moodhya Pradesh,True,2,52,7100.0,3220.0,4800.0,False
HH1026,delulu_hub,4025,3.79,Kerela.ai,False,3,52,8000.0,3120.0,700.0,False
HH1027,coastal_L,7070,2.62,Panic Nadu,True,5,38,22800.0,7870.0,8200.0,False
HH1028,feral_block,7038,3.76,Moodhya Pradesh,False,4,45,13600.0,5240.0,0.0,False
HH1029,delulu_hub,4884,2.49,maharizztra,False,5,73,13700.0,5660.0,400.0,False
HH1030,feral_block,4100,0.77,JhorrorKhand,True,1,44,15300.0,8060.0,8200.0,False
HH1031,delulu_hub,1733,2.12,JhorrorKhand,False,6,39,11000.0,5080.0,1600.0,False
HH1032,delulu_hub,7366,2.49,Biharify,False,2,71,12900.0,4170.0,1800.0,False
HH1033,midtown_sadness,8802,3.38,Moodhya Pradesh,False,5,75,34300.0,10480.0,1500.0,True
HH1034,midtown_sadness,484,0.93,Uttar Downbad,True,6,35,25700.0,8500.0,7500.0,False
HH1035,no_scope_city,504,1.06,Moodhya Pradesh,True,1,71,11800.0,4990.0,11700.0,False
HH1036,rizz_rural,8275,1.55,Panic Nadu,True,4,36,12900.0,7480.0,6100.0,False
HH1037,delulu_hub,2100,1.57,Uttar Downbad,True,5,36,17000.0,8350.0,6900.0,False
HH1038,feral_block,9960,3.43,karNAHtaka,True,6,27,27600.0,14920.0,11400.0,False
HH1039,coastal_L,6089,1.5,karNAHtaka,False,4,48,24600.0,10820.0,2500.0,False
HH1040,delulu_hub,1560,3.03,maharizztra,True,2,36,26000.0,10620.0,8500.0,False
HH1041,coastal_L,7290,2.48,karNAHtaka,True,8,71,18000.0,5990.0,9600.0,False
HH1042,delulu_hub,7240,2.79,JhorrorKhand,False,6,57,6800.0,3830.0,1900.0,False
HH1043,midtown_sadness,3736,3.85,Moodhya Pradesh,False,3,29,30900.0,16530.0,4000.0,False
HH1044,rizz_rural,4909,2.12,karNAHtaka,True,5,36,9300.0,3260.0,9000.0,False
HH1045,feral_block,4278,3.58,Kerela.ai,False,4,24,18200.0,8260.0,1600.0,False
HH1046,rizz_rural,7345,2.19,Biharify,True,1,68,1800.0,800.0,9400.0,False
HH1047,coastal_L,6700,1.92,Kerela.ai,True,3,34,11500.0,5610.0,5400.0,False
HH1048,coastal_L,6097,4.33,karNAHtaka,False,4,62,10400.0,6070.0,2100.0,False
HH1049,delulu_hub,2148,1.24,maharizztra,True,2,55,26100.0,12370.0,2400.0,False
HH1050,midtown_sadness,4880,0.86,Biharify,True,4,45,14900.0,6880.0,5500.0,False
HH1051,no_scope_city,816,3.58,Panic Nadu,True,4,61,12500.0,3940.0,4600.0,False
HH1052,midtown_sadness,8039,0.77,Kerela.ai,True,5,53,16800.0,5360.0,5800.0,False
HH1053,midtown_sadness,5665,3.85,maharizztra,True,3,53,3200.0,1140.0,8800.0,False
HH1054,feral_block,4644,2.25,Moodhya Pradesh,True,2,51,6900.0,2140.0,1800.0,False
HH1055,midtown_sadness,5076,4.16,Moodhya Pradesh,False,4,73,9600.0,5020.0,200.0,False
HH1056,delulu_hub,3519,3.39,Kerela.ai,False,4,70,17100.0,8840.0,1100.0,False
HH1057,delulu_hub,7339,2.94,karNAHtaka,True,2,34,5500.0,1870.0,8400.0,False
HH1058,delulu_hub,9866,4.3,maharizztra,True,6,22,15700.0,8650.0,7900.0,False
HH1059,rizz_rural,349,2.09,Moodhya Pradesh,True,5,55,12800.0,4430.0,4700.0,False
HH1060,rizz_rural,8965,4.32,Panic Nadu,True,4,36,9100.0,3550.0,10500.0,False
HH1061,rizz_rural,870,1.04,Uttar Downbad,False,4,65,9400.0,3520.0,1000.0,False
HH1062,no_scope_city,4463,2.44,karNAHtaka,True,6,35,13800.0,5680.0,8400.0,False
HH1063,rizz_rural,1177,1.58,maharizztra,True,4,50,5200.0,1960.0,5900.0,False
HH1064,rizz_rural,8527,2.66,Panic Nadu,False,4,55,18500.0,8260.0,3100.0,False
HH1065,coastal_L,8680,1.15,maharizztra,False,3,39,7200.0,3040.0,300.0,False
HH1066,delulu_hub,8001,3.87,Biharify,False,1,75,7800.0,4650.0,3800.0,False
HH1067,no_scope_city,4958,3.89,Panic Nadu,True,5,28,28500.0,9030.0,8100.0,False
HH1068,delulu_hub,6644,4.32,karNAHtaka,True,5,50,19700.0,6750.0,9900.0,False
